"","control1","control2","control3","control4","case1","case2","case3"
"202731_at",8.29909037531369,8.46543878677966,7.66538376080706,7.68477726171856,7.26468128521106,6.87318922429694,6.96919785521368
"202732_at",6.8846690382929,6.7747151884125,7.05808749928498,6.92953708267987,6.22030023782454,6.57215664908904,6.77317608227772
"202733_at",9.26188017404348,9.2625850065947,9.12227349293592,9.27326817874692,9.46152697454867,9.30105862008389,9.28558733641025
"202734_at",7.78826097242313,7.44240173371063,7.85634361047603,7.54132954156112,7.3880168847403,7.2801673556355,7.54132954156112
"202735_at",9.2645823756109,9.7567669127178,9.3644975537265,9.4054334107007,9.92268219520761,9.63523794117859,9.64130258495613
"202736_s_at",10.5420176142223,10.2978092094103,10.6358033386158,10.648095207217,10.6592773607181,10.8625363172106,10.6841174767541
"202737_s_at",10.5758905470609,10.5313553380356,10.59134781084,10.6389996043987,10.639941751919,10.8682225637832,11.0121993903248
"202738_s_at",8.02057317682411,7.92452466279113,7.86460080638756,7.6974534546255,8.03574997527681,7.92452466279113,8.03937025765297
"202739_s_at",6.42416543984236,6.76148003389422,6.38416185704703,5.79368146022509,6.60687435105051,6.39264527892004,6.48843455471678
"202740_at",8.35456148152457,8.2612889279053,8.66739569800374,8.80609912648532,8.746649887896,8.88771223723362,8.73321744844455
"202741_at",8.97987873302155,9.4422749545003,9.55942093485,9.30916456964988,7.25704583352757,7.64796422738358,7.3435757986179
"202742_s_at",7.51477376472918,7.60157090525758,7.05622454146176,6.63635050424565,5.39674649594109,5.79430512600564,5.25542598272832
"202743_at",8.04543287185193,8.12265704439509,8.14339087498056,8.33011657882271,7.18455825553566,7.64569095338897,7.89730956808453
"202744_at",5.90208452863414,5.40537486489733,5.44051785227217,5.40537486489733,5.40537486489733,5.3507932022102,5.17720817120446
"202745_at",7.26307138186363,7.64650735348991,7.08906909193897,7.22393054828982,6.1337838168731,6.58089260263782,6.78521731247126
"202746_at",3.15237696816219,3.26677685396145,3.40916275839553,3.35852255057931,3.40595478634754,3.27066623524697,3.27066623524697
"202747_s_at",6.80787209021792,6.99980233888674,7.05724361162065,6.89535559679657,7.23279418465956,7.00860556391579,7.04151574645607
"202748_at",7.19207355895339,7.37760552192387,7.00540085958726,6.87092760471424,6.98666989365835,7.00540085958726,6.84193192307078
"202749_at",8.72517658549712,9.11165776794742,8.62083391888337,8.71049118385475,8.55344050774812,8.46535083762189,8.858540779325
"202750_s_at",7.60114586078407,7.37745303423642,7.56492650094667,7.62242893210828,7.62242893210828,7.77211235876846,7.96019080769008
"202751_at",5.7415943381385,6.039587311269,5.97527284285363,6.24497540382467,6.13770891682185,6.18979263523844,6.04795879164679
"202752_x_at",8.08769593165515,8.14426529724068,8.10742307903299,8.2022988211299,8.32157889133788,8.21925403391625,8.1814738033533
"202753_at",10.1151106467151,10.2949860085862,10.30890143734,10.336550013038,9.71249273454678,10.1151106467151,10.0692120873069
"202754_at",8.51471415559355,8.58274610268266,8.7758969711868,8.4702107445543,8.42065294342418,8.49919698969784,8.52118890658411
"202755_s_at",8.31377039885517,7.13686007012563,7.66530641965107,7.71659161346534,7.61870726851752,7.74848567018913,7.21990630609015
"202756_s_at",9.76741846035336,9.66091098090066,9.86278541386728,9.82306912664509,9.76741846035336,9.6836799457558,9.76741846035336
"202757_at",9.13117268955228,9.1303201642437,9.43529308666711,9.60948266871263,9.37042602626233,9.42283272165304,9.68373667875137
"202758_s_at",8.0230195049523,8.42844585755623,8.30492242181008,8.62677270639251,8.27210353449764,8.22870521307461,8.29388003212253
"202759_s_at",9.74874095820347,9.31546029877067,9.6334467220681,9.06787236846629,8.29590523043831,8.96470681457874,8.94268683423146
"202760_s_at",8.98915543739438,8.34775455047648,8.93731837823573,8.61284770834511,7.05307334102061,8.61946568225421,8.25255232668703
"202761_s_at",7.02926439817497,6.96854277876966,6.89016559314687,6.65097944179258,5.72318722823367,6.06428478871586,5.99323091157858
"202762_at",8.8297110203344,8.9259225795016,9.05408362828458,9.00576909623823,6.17552479110617,7.32603490862729,7.40428403160245
"202763_at",6.73845415108732,6.98520855415592,6.75092163056307,6.53590966132297,7.29151120796013,7.49868517824847,7.48855346283038
"202764_at",7.06824872761762,7.03061822651087,7.03061822651087,7.06852028454558,7.07151345718646,6.97160642239445,7.00267125417652
"202765_s_at",9.52968265808145,8.69455274078515,8.35274180770346,8.37543004344448,8.18605297468148,8.88638164366955,8.23318174189738
"202766_s_at",10.7662957010563,10.8671127576666,10.3410574175278,10.2687419670469,9.84110614157164,10.3819855231163,10.1570198268257
"202767_at",9.00156434601324,8.90828989355352,8.695070102296,9.0008143983023,8.90828989355352,8.58693681398075,8.95466363941975
"202768_at",5.90325132931159,6.15547814658438,5.91359243827881,5.78771494788894,6.72065362518063,6.68970533915,6.53289911829475
"202769_at",6.11999823004369,6.24513776662174,6.13612660921167,6.18747245899278,5.77289787525881,5.71011916471793,5.99144386610241
"202770_s_at",6.09507504382441,6.04576797373915,5.76339740298438,5.69617813942923,5.89818985788137,5.81455145824152,5.56589765344164
"202771_at",9.98505681046336,9.34765632759206,9.76765740172964,9.8116981110765,9.57439363372903,9.53084002683264,9.62569768908777
"202772_at",8.2751138609991,8.32700310982927,8.31188484987901,8.54971297242456,8.76660156695962,8.71492810815577,8.79741164250769
"202773_s_at",7.15032329542112,6.87665676421909,6.85626627379111,7.07976012727414,6.94032827867592,6.92817373504139,6.52285217981495
"202774_s_at",7.7502404907738,7.74978373947115,7.7864783724065,7.92577520470484,7.45701839065344,7.6948994575166,7.5430986879574
